FID,TBBH,POINT_X,POINT_Y
0,1051,40455314.974799998000000,3581584.076100000200000
1,1051,40455298.590800002000000,3581579.660399999900000
2,1051,40455297.243600003000000,3581670.486500000100000
3,1051,40455580.976499997000000,3581742.740900000100000
4,1051,40455587.660599999000000,3581653.652799999800000
5,1051,40455546.399599999000000,3581643.091399999800000
6,1051,40455537.788400002000000,3581641.206499999900000
7,1051,40455536.546599999000000,3581640.939100000100000
8,1051,40455522.055100001000000,3581637.819000000100000
9,1051,40455503.879500002000000,3581632.462900000200000
10,1051,40455489.212600000000000,3581629.269900000200000
11,1051,40455481.376999997000000,3581627.109000000200000
12,1051,40455454.361599997000000,3581619.659099999800000
13,1051,40455445.234800003000000,3581617.941199999800000
14,1051,40455434.144100003000000,3581614.357600000200000
15,1051,40455339.277300000000000,3581590.074800000100000
16,1051,40455337.306000002000000,3581589.587700000000000
17,1051,40455314.974799998000000,3581584.076100000200000
18,767,40454772.833800003000000,3583983.055300000100000
19,767,40454765.343599997000000,3583721.196300000000000
20,767,40454748.386299998000000,3583721.664100000200000
21,767,40454702.430500001000000,3583722.402999999900000
22,767,40454693.933100000000000,3583720.892800000000000
23,767,40454689.684299998000000,3583719.571399999800000
24,767,40454686.568599999000000,3583715.418399999800000
25,767,40454685.947600000000000,3583708.531899999800000
26,767,40454593.807999998000000,3583712.334100000100000
27,767,40454601.749399997000000,3583799.241800000000000
28,767,40454613.836800002000000,3583867.798200000100000
29,767,40454622.298000000000000,3583907.548700000200000
30,767,40454623.505700000000000,3583922.238599999800000
31,767,40454630.758100003000000,3583950.711900000000000
32,767,40454655.369199999000000,3584000.000000000000000
33,767,40454667.746100001000000,3584027.736300000000000
34,767,40454671.592500001000000,3584059.162200000100000
35,767,40454677.390299998000000,3584059.162200000100000
36,767,40454687.444399998000000,3584052.282999999800000
37,767,40454691.677800000000000,3584036.407900000000000
38,767,40454692.207000002000000,3584018.416199999900000
39,767,40454696.969499998000000,3584011.007900000100000
40,767,40454712.315300003000000,3584002.012000000100000
41,767,40454739.832099997000000,3583991.957899999800000
42,767,40454763.644599997000000,3583985.607799999900000
43,767,40454772.833800003000000,3583983.055300000100000
44,1296,40452750.282399997000000,3580554.647200000000000
45,1296,40452751.832199998000000,3580535.504300000100000
46,1296,40452793.572899997000000,3580537.979499999900000
47,1296,40452811.908600003000000,3580539.016299999800000
48,1296,40452816.770099998000000,3580461.859900000000000
49,1296,40452844.948299997000000,3580461.859900000000000
50,1296,40452843.601899996000000,3580436.682200000200000
51,1296,40452751.116499998000000,3580431.299800000200000
52,1296,40452682.047600001000000,3580428.654000000100000
53,1296,40452681.921800002000000,3580428.644900000200000
54,1296,40452673.668600000000000,3580428.048800000000000
55,1296,40452657.985699996000000,3580426.115600000100000
56,1296,40452596.627300002000000,3580423.205500000200000
57,1296,40452579.461900003000000,3580422.503099999900000
58,1296,40452519.686600000000000,3580420.057000000000000
59,1296,40452474.780699998000000,3580418.181499999900000
60,1296,40452469.477100000000000,3580486.953499999800000
61,1296,40452466.136600003000000,3580536.538499999800000
62,1296,40452577.635600001000000,3580540.400100000200000
63,1296,40452580.658500001000000,3580540.507700000000000
64,1296,40452664.258699998000000,3580543.482400000100000
65,1296,40452666.464100003000000,3580543.560800000100000
66,1296,40452666.321500003000000,3580545.809500000000000
67,1296,40452665.970799997000000,3580551.338200000100000
68,1296,40452673.251400001000000,3580551.623999999800000
